file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,c6f98b86,rapatnaik,2025-04-04,17:58:17,-07:00,2025-04-04T17:58:17-07:00,0,4
style.css,2,css,c6f98b86,rapatnaik,2025-04-04,17:58:17,-07:00,2025-04-04T17:58:17-07:00,2,43
style.css,3,css,c6f98b86,rapatnaik,2025-04-04,17:58:17,-07:00,2025-04-04T17:58:17-07:00,4,42
style.css,4,css,c6f98b86,rapatnaik,2025-04-04,17:58:17,-07:00,2025-04-04T17:58:17-07:00,3,0
style.css,5,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,2,15
style.css,6,css,c6f98b86,rapatnaik,2025-04-04,17:58:17,-07:00,2025-04-04T17:58:17-07:00,2,23
style.css,7,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,2,18
style.css,8,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,2,12
style.css,9,css,32408f7f,rapatnaik,2025-04-25,23:08:40,-07:00,2025-04-25T23:08:40-07:00,2,16
style.css,10,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,0,0
style.css,11,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,0,0
style.css,12,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,0,5
style.css,13,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,0,6
style.css,14,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,1,16
style.css,15,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,0,0
style.css,16,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,0,0
style.css,17,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,0,3
style.css,18,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,1,12
style.css,19,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,1,18
style.css,20,css,198db6dc,rapatnaik,2025-04-18,21:20:24,-07:00,2025-04-18T21:20:24-07:00,1,38
style.css,21,css,198db6dc,rapatnaik,2025-04-18,21:20:24,-07:00,2025-04-18T21:20:24-07:00,1,43
style.css,22,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,1,18
style.css,23,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,0,0
style.css,24,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,0,0
style.css,25,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,0,5
style.css,26,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,1,6
style.css,27,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,1,17
style.css,28,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,1,14
style.css,29,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,1,20
style.css,30,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,1,13
style.css,31,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,1,11
style.css,32,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,0,0
style.css,33,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,0,0
style.css,34,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,0,13
style.css,35,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,1,21
style.css,36,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,1,16
style.css,37,css,a0429b67,rapatnaik,2025-04-10,00:15:12,-07:00,2025-04-10T00:15:12-07:00,1,17
style.css,38,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,0,0
style.css,39,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,1,43
style.css,40,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,1,20
style.css,41,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,1,16
style.css,42,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,0,0
style.css,43,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,0,0
style.css,44,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,0,11
style.css,45,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,1,45
style.css,46,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,1,20
style.css,47,css,198db6dc,rapatnaik,2025-04-18,21:20:24,-07:00,2025-04-18T21:20:24-07:00,1,69
style.css,48,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,0,0
style.css,49,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,0,0
style.css,50,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,0,4
style.css,51,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,1,33
style.css,52,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,1,32
style.css,53,css,198db6dc,rapatnaik,2025-04-18,21:20:24,-07:00,2025-04-18T21:20:24-07:00,1,23
style.css,54,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,0,0
style.css,55,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,0,0
style.css,56,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,0,4
style.css,57,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,0,7
style.css,58,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,0,6
style.css,59,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,1,12
